reading,word,pos,comment
ぐろーばるきょういくいん,グローバル教育院,proper_noun,大学院の教育組織
こくさいけいえいぷろふぇっしょなるせんこう,国際経営プロフェッショナル専攻,proper_noun,大学院の専攻
こくさいれんけいしょくりょうけんこうかがくせんこう,国際連携食料健康科学専攻,proper_noun,大学院の専攻
こくさいれんけいじぞくかんきょうかがくせんこう,国際連携持続環境科学専攻,proper_noun,大学院の専攻
しすてむじょうほうこうがくけんきゅうぐん,システム情報工学研究群,proper_noun,大学院の研究群
じんぶんしゃかいかがくけんきゅうぐん,人文社会科学研究群,proper_noun,大学院の研究群
じんぶんしゃかいびじねすかがくがくじゅついん,人文社会ビジネス科学学術院,proper_noun,大学院の学術院
すうりぶっしつかがくけんきゅうぐん,数理物質科学研究群,proper_noun,大学院の研究群
すぽーつこくさいかいはつがくきょうどうせんこう,スポーツ国際開発学共同専攻,proper_noun,大学院の共同専攻
せいめいちきゅうかがくけんきゅうぐん,生命地球科学研究群,proper_noun,大学院の研究群
だいがくたいいくすぽーつこうどかきょうどうせんこう,大学体育スポーツ高度化共同専攻,proper_noun,大学院の共同専攻
にんげんそうごうかがくがくじゅついん,人間総合科学学術院,proper_noun,大学院の学術院
にんげんそうごうかがくけんきゅうぐん,人間総合科学研究群,proper_noun,大学院の研究群
ひゅーまにくすがくいぷろぐらむ,ヒューマニクス学位プログラム,proper_noun,グローバル教育院の学位プログラム
びじねすかがくけんきゅうぐん,ビジネス科学研究群,proper_noun,大学院の研究群
ほうそうせんこう,法曹専攻,proper_noun,大学院の専攻
りこうじょうほうせいめいがくじゅついん,理工情報生命学術院,proper_noun,大学院の学術院
