reading,word,pos,comment
じんぶんぶんかがくぐん,人文・文化学群,proper_noun,学士課程の学群
じんぶんがくるい,人文学類,proper_noun,人文・文化学群の学類
ひかくぶんかがくるい,比較文化学類,proper_noun,人文・文化学群の学類
にほんごにほんぶんかがくるい,日本語・日本文化学類,proper_noun,人文・文化学群の学類
しゃかいこくさいがくぐん,社会・国際学群,proper_noun,学士課程の学群
しゃかいがくるい,社会学類,proper_noun,社会・国際学群の学類
こくさいそうごうがくるい,国際総合学類,proper_noun,社会・国際学群の学類
にんげんがくぐん,人間学群,proper_noun,学士課程の学群
きょういくがくるい,教育学類,proper_noun,人間学群の学類
しんりがくるい,心理学類,proper_noun,人間学群の学類
しょうがいかがくるい,障害科学類,proper_noun,人間学群の学類
せいめいかんきょうがくぐん,生命環境学群,proper_noun,学士課程の学群
せいぶつがくるい,生物学類,proper_noun,生命環境学群の学類
せいぶつしげんがくるい,生物資源学類,proper_noun,生命環境学群の学類
ちきゅうがくるい,地球学類,proper_noun,生命環境学群の学類
りこうがくぐん,理工学群,proper_noun,学士課程の学群
すうがくるい,数学類,proper_noun,理工学群の学類
ぶつりがくるい,物理学類,proper_noun,理工学群の学類
かがくるい,化学類,proper_noun,理工学群の学類
おうようりこうがくるい,応用理工学類,proper_noun,理工学群の学類
しゃかいこうがくるい,社会工学類,proper_noun,理工学群の学類
こうがくしすてむがくるい,工学システム学類,proper_noun,理工学群の学類
じょうほうがくぐん,情報学群,proper_noun,学士課程の学群
じょうほうかがくるい,情報科学類,proper_noun,情報学群の学類
じょうほうめでぃあそうせいがくるい,情報メディア創成学類,proper_noun,情報学群の学類
ちしきじょうほうとしょかんがくるい,知識情報・図書館学類,proper_noun,情報学群の学類
いがくぐん,医学群,proper_noun,学士課程の学群
いがくるい,医学類,proper_noun,医学群の学類
かんごがくるい,看護学類,proper_noun,医学群の学類
いりょうかがくるい,医療科学類,proper_noun,医学群の学類
たいいくせんもんがくぐん,体育専門学群,proper_noun,学士課程の専門学群
げいじゅつせんもんがくぐん,芸術専門学群,proper_noun,学士課程の専門学群
がくさいさいえんすでざいんせんもんがくぐん,学際サイエンス・デザイン専門学群,proper_noun,学士課程の専門学群
