reading,word,pos,comment
はるがっき,春学期,proper_noun,学期区分
はるえー,春A,proper_noun,春学期Aモジュール
はるびー,春B,proper_noun,春学期Bモジュール
はるしー,春C,proper_noun,春学期Cモジュール
はるえーびー,春AB,proper_noun,春学期A-Bモジュール
はるびーしー,春BC,proper_noun,春学期B-Cモジュール
はるえーびーしー,春ABC,proper_noun,春学期A-B-Cモジュール
あきがっき,秋学期,proper_noun,学期区分
あきえー,秋A,proper_noun,秋学期Aモジュール
あきびー,秋B,proper_noun,秋学期Bモジュール
あきしー,秋C,proper_noun,秋学期Cモジュール
あきえーびー,秋AB,proper_noun,秋学期A-Bモジュール
あきびーしー,秋BC,proper_noun,秋学期B-Cモジュール
あきえーびーしー,秋ABC,proper_noun,秋学期A-B-Cモジュール
いちげん,1限,noun,1時限
にげん,2限,noun,2時限
さんげん,3限,noun,3時限
よげん,4限,noun,4時限
ごげん,5限,noun,5時限
ろくげん,6限,noun,6時限
